Words,Tags,SentenceID
data,O,44
by,O,44
streaming,O,44
data,O,44
through,O,44
apache,B-TECH,44
flume,I-TECH,44
and,O,44
performing,O,44
sentiment,O,44
analysis,O,44
on,O,44
the,O,44
data,O,44
with,O,44
apache,B-TECH,44
hive,I-TECH,44
by,O,44
creating,O,44
a,O,44
twitter,O,44
application,O,44
.,O,44
data,O,45
ingestion,O,45
tool,O,45
used,O,45
:,O,45
apache,B-TECH,45
flume,I-TECH,45
.,O,45
data,O,46
analysis,O,46
tool,O,46
used,O,46
:,O,46
apache,B-TECH,46
hive,I-TECH,46
.,O,46
other,O,47
details,O,47
.,O,47
date,O,48
of,O,48
birth,O,48
:,O,48
09-09-1995,O,48
.,O,48
language,O,49
proficiency,O,49
:,O,49
english,O,49
hindi,O,49
punjabi,O,49
.,O,49
.,O,50
niki.pat@tcs.com,S-EMAIL,51
.,O,51
s,O,52
profile,O,52
.,O,52
nikita,B-PER,53
veeranagouda,I-PER,53
patil,I-PER,53
(,O,53
1508044,O,53
),O,53
.,O,53
contact,O,54
:,O,54
+91,O,54
9901663258,S-CON,54
.,O,54
e,O,55
-,O,55
mail,O,55
:,O,55
.,O,55
assistant,B-DES,56
system,I-DES,56
engineer,I-DES,56
.,O,56
5+,B-EXP,57
months,I-EXP,57
experience,O,57
in,O,57
tcs,S-ORG,57
working,O,57
in,O,57
conversational,O,57
experience,O,57
unit,O,57
in,O,57
tcs,O,57
b,O,57
e,O,57
in,O,57
electronics,O,57
and,O,57
communication,O,57
engineering,O,57
.,O,57
profile,O,58
.,O,58
assistant,B-DES,59
system,I-DES,59
engineer,I-DES,59
with,O,59
5+,O,59
month's,O,59
experience,O,59
.,O,59
certifications,O,60
:,O,60
tcs,S-ORG,60
ilp,O,60
certification,O,60
in,O,60
java,S-TECH,60
for,O,60
3,O,60
months,O,60
tcs,O,60
competency,O,60
certificates,O,60
in,O,60
java,O,60
html,S-TECH,60
css,S-TECH,60
python,S-TECH,60
javascript,S-TECH,60
.,O,60
education,O,61
detail,O,61
:,O,61
b,O,61
e,O,61
in,O,61
electronics,O,61
and,O,61
communication,O,61
engineering,O,61
from,O,61
kls,O,61
gogte,O,61
institute,O,61
of,O,61
technology,O,61
.,O,61
technical,O,62
skills,O,62
.,O,62
development,O,63
tool,O,63
.,O,63
eclipse,S-TECH,64
anakonda,S-TECH,64
.,O,64
languages,O,65
.,O,65
node,B-TECH,66
js,I-TECH,66
java,S-TECH,66
python,S-TECH,66
3,O,66
unix,S-TECH,66
css,S-TECH,66
html,S-TECH,66
.,O,66
database,O,67
.,O,67
sql,S-TECH,68
postgre,B-TECH,68
sql,I-TECH,68
.,O,68
professional,O,69
experience,O,69
.,O,69
tata,B-ORG,70
consultancy,I-ORG,70
services,I-ORG,70
.,O,70
assistant,B-DES,71
system,I-DES,71
engineer,I-DES,71
.,O,71
03,O,72
/,O,72
2018,O,72
–,O,72
till,O,72
date,O,72
.,O,72
educational,O,73
&,O,73
professional,O,73
credentials,O,73
.,O,73
education,O,74
.,O,74
board,O,75
/,O,75
university,O,75
.,O,75
year,O,76
of,O,76
passing,O,76
.,O,76
%,O,77
of,O,77
marks,O,77
.,O,77
secondary,O,78
.,O,78
m,O,79
v,O,79
herwadkar,O,79
school,O,79
.,O,79
2011,O,80
.,O,80
.,O,81
gss,O,82
college,O,82
.,O,82
2013,O,83
.,O,83
.,O,84
kls,O,85
gogte,O,85
institute,O,85
of,O,85
technology,O,85
/,O,85
vtu,O,85
.,O,85
2017,O,86
.,O,86
.,O,87
company,O,88
name,O,88
:,O,88
tata,B-ORG,88
consultancy,I-ORG,88
services,I-ORG,88
ltd,O,88
india,O,88
.,O,88
roles&,O,89
responsibilities,O,89
:,O,89
developer,S-ROLE,89
.,O,89
exploring,O,90
conversational,O,90
services,O,90
provided,O,90
by,O,90
various,O,90
technologies,O,90
mainly,O,90
google,O,90
and,O,90
preparing,O,90
documents,O,90
out,O,90
of,O,90
it,O,90
.,O,90
conduct,O,91
knowledge,O,91
sharing,O,91
session,O,91
for,O,91
the,O,91
explored,O,91
technology,O,91
for,O,91
the,O,91
entire,O,91
team,O,91
.,O,91
configured,O,92
bots,O,92
in,O,92
dialog,B-TECH,92
flow,I-TECH,92
(,O,92
using,O,92
node,B-TECH,92
js,I-TECH,92
),O,92
in,O,92
google,O,92
lambda,O,92
(,O,92
using,O,92
node,O,92
js,O,92
),O,92
in,O,92
amazon,O,92
.,O,92
project,O,93
name,O,93
.,O,93
conversational,O,94
experiences,O,94
.,O,94
client,O,95
.,O,95
internal,O,96
.,O,96
role,O,97
.,O,97
developer,S-ROLE,98
.,O,98
summary,O,99
.,O,99
preparing,O,100
chatbots,O,100
in,O,100
different,O,100
technologies,O,100
like,O,100
amazon,O,100
google,O,100
kore,B-TECH,100
al,I-TECH,100
using,O,100
java,S-TECH,100
cript,O,100
html,S-TECH,100
css,S-TECH,100
python,S-TECH,100
node,B-TECH,100
js,I-TECH,100
.,O,100
other,O,101
details,O,101
.,O,101
date,O,102
of,O,102
birth,O,102
:,O,102
13,O,102
.,O,102
10,O,103
date,O,103
of,O,103
birth,O,103
:,O,103
13,O,103
.,O,103
.,O,104
ezra.kuppam@tcs.com,S-EMAIL,105
.,O,105
kuppam,B-PER,106
ezra,I-PER,106
nissy,I-PER,106
(,O,106
1501946,O,106
),O,106
.,O,106
contact,O,107
:,O,107
+91,O,107
8978997930,S-CON,107
.,O,107
mail,O,108
:,O,108
.,O,108
assistant,B-DES,109
system,I-DES,109
engineer,I-DES,109
.,O,109
5+,B-EXP,110
months,I-EXP,110
experience,O,110
in,O,110
tcs,S-ORG,110
working,O,110
in,O,110
conversational,O,110
experience,O,110
unit,O,110
in,O,110
tcs,O,110
b,O,110
.,O,110
tech,O,111
in,O,111
electrical,O,111
and,O,111
electronics,O,111
engineering,O,111
.,O,111
profile,O,112
.,O,112
assistant,B-DES,113
system,I-DES,113
engineer,I-DES,113
with,O,113
5+,B-EXP,113
months,I-EXP,113
experience,O,113
.,O,113
certifications,O,114
:,O,114
tcs,S-ORG,114
ilp,O,114
certification,O,114
in,O,114
java,S-TECH,114
for,O,114
3,O,114
months,O,114
tcs,O,114
competency,O,114
certificates,O,114
in,O,114
java,O,114
html,S-TECH,114
css,S-TECH,114
python,S-TECH,114
javascript,S-TECH,114
.,O,114
education,O,115
detail,O,115
:,O,115
b,O,115
.,O,115
tech,O,116
in,O,116
electrical,O,116
and,O,116
electronics,O,116
engineering,O,116
from,O,116
sree,O,116
vidyanikethan,O,116
engineering,O,116
college,O,116
tirupathi,O,116
.,O,116
technical,O,117
skills,O,117
.,O,117
development,O,118
tool,O,118
.,O,118
eclipse,S-TECH,119
anakonda,S-TECH,119
.,O,119
languages,O,120
.,O,120
node,B-TECH,121
js,I-TECH,121
java,S-TECH,121
python,S-TECH,121
3,O,121
unix,S-TECH,121
css,S-TECH,121
html,S-TECH,121
.,O,121
database,O,122
.,O,122
sql,S-TECH,123
postgre,B-TECH,123
sql,I-TECH,123
.,O,123
professional,O,124
experience,O,124
.,O,124
03,O,125
/,O,125
2018,O,125
–,O,125
till,O,125
date,O,125
.,O,125
educational,O,126
&,O,126
professional,O,126
credentials,O,126
.,O,126
education,O,127
.,O,127
board,O,128
/,O,128
university,O,128
.,O,128
year,O,129
of,O,129
passing,O,129
.,O,129
%,O,130
of,O,130
marks,O,130
.,O,130
secondary,O,131
.,O,131
st,O,132
joseph's,O,132
e,O,132
m,O,132
high,O,132
school,O,132
.,O,132
2011,O,133
.,O,133
.,O,134
n,O,135
r,O,135
i,O,135
junior,O,135
college,O,135
.,O,135
2013,O,136
.,O,136
.,O,137
.,O,138
.,O,139
company,O,140
name,O,140
:,O,140
tata,B-ORG,140
consultancy,I-ORG,140
services,I-ORG,140
ltd,I-ORG,140
india,O,140
.,O,140
roles&,O,141
responsibilities,O,141
:,O,141
developer,S-ROLE,141
.,O,141
exploring,O,142
conversational,O,142
services,O,142
provided,O,142
by,O,142
various,O,142
technologies,O,142
mainly,O,142
google,O,142
and,O,142
preparing,O,142
documents,O,142
out,O,142
of,O,142
it,O,142
.,O,142
conduct,O,143
knowledge,O,143
sharing,O,143
session,O,143
for,O,143
the,O,143
explored,O,143
technology,O,143
for,O,143
the,O,143
entire,O,143
team,O,143
.,O,143
configured,O,144
bots,O,144
in,O,144
dialog,B-TECH,144
flow,I-TECH,144
(,O,144
using,O,144
node,B-TECH,144
js,I-TECH,144
),O,144
in,O,144
google,O,144
lambda,O,144
(,O,144
using,O,144
node,O,144
js,O,144
),O,144
in,O,144
amazon,O,144
.,O,144
project,O,145
name,O,145
.,O,145
conversational,O,146
experiences,O,146
.,O,146
client,O,147
.,O,147
internal,O,148
.,O,148
role,O,149
.,O,149
developer,S-ROLE,150
.,O,150
summary,O,151
.,O,151
preparing,O,152
chatbots,O,152
in,O,152
different,O,152
technologies,O,152
like,O,152
amazon,O,152
google,O,152
kore,B-TECH,152
al,I-TECH,152
using,O,152
java,S-TECH,152
cript,O,152
html,S-TECH,152
css,S-TECH,152
python,S-TECH,152
node,B-TECH,152
js,I-TECH,152
.,O,152
other,O,153
details,O,153
.,O,153
date,O,154
of,O,154
birth,O,154
:,O,154
31,O,154
/,O,154
01,O,154
/,O,154
1996,O,154
.,O,154
passport,O,155
no,O,155
:,O,155
p9308817,O,155
.,O,155
language,O,156
proficiency,O,156
:,O,156
english,O,156
hindi,O,156
telugu,O,156
.,O,156
2,O,157
.,O,157
.,O,158
(,O,159
monika.joshi2@tcs.com,S-EMAIL,159
),O,159
.,O,159
nithin,O,160
gopinadh's,O,160
profile,O,160
.,O,160
monika,B-PER,161
joshi,I-PER,161
(,O,161
1242148,O,161
),O,161
.,O,161
contact,O,162
:,O,162
+91,O,162
(,O,162
7486894869,S-CON,162
),O,162
.,O,162
mail,O,163
:,O,163
.,O,163
experience,O,164
summary,O,164
.,O,164
2,B-EXP,165
years,I-EXP,165
of,O,165
it,O,165
experience,O,165
in,O,165
informatica,O,165
powercenter,O,165
(,O,165
etl,S-TECH,165
tool,O,165
),O,165
.,O,165
experience,O,166
in,O,166
designing,O,166
etl,S-TECH,166
processes,O,166
and,O,166
developing,O,166
source,O,166
to,O,166
target,O,166
mappings,O,166
.,O,166
expert,O,167
in,O,167
developing,O,167
testing,S-TECH,167
and,O,167
deploying,O,167
etl,S-TECH,167
solutions,O,167
.,O,167
familiarity,O,168
with,O,168
data,O,168
warehousing,O,168
solutions,O,168
in,O,168
an,O,168
oracle,B-TECH,168
10g,I-TECH,168
environment,O,168
.,O,168
proven,O,169
experience,O,169
in,O,169
utilizing,O,169
databases,O,169
such,O,169
as,O,169
oracle,S-TECH,169
and,O,169
teradata,S-TECH,169
.,O,169
excellent,O,170
analysis,O,170
and,O,170
problem,O,170
solving,O,170
and,O,170
communication,O,170
skills,O,170
.,O,170
technical,O,171
skills,O,171
.,O,171
tool,O,172
.,O,172
informatica,B-TECH,173
powercentre,I-TECH,173
(,O,173
9,O,173
informatica,O,173
powercentre,O,173
(,O,173
9,O,173
.,O,173
6,O,174
.,O,174
educational,O,175
&,O,175
professional,O,175
credentials,O,175
.,O,175
education,O,176
.,O,176
board,O,177
/,O,177
university,O,177
.,O,177
year,O,178
of,O,178
passing,O,178
.,O,178
%,O,179
of,O,179
marks,O,179
.,O,179
high,O,180
school,O,180
.,O,180
mp,O,181
board,O,181
.,O,181
2009,O,182
.,O,182
.,O,183
mp,O,184
board,O,184
.,O,184
2011,O,185
.,O,185
.,O,186
rajiv,O,187
gandhi,O,187
proudyogiki,O,187
vishwavidyalaya,O,187
.,O,187
2015,O,188
.,O,188
.,O,189
i,O,190
have,O,190
done,O,190
bipm,O,190
training,O,190
from,O,190
ilp,O,190
trivandrum,O,190
.,O,190
attended,O,191
session,O,191
on,O,191
informatica,O,191
powercenter,O,191
.,O,191
conducted,O,192
one,O,192
training,O,192
program,O,192
on,O,192
etl,S-TECH,192
tool,O,192
.,O,192
attented,O,193
session,O,193
on,O,193
conversational,O,193
business,O,193
system,O,193
.,O,193
attended,O,194
different,O,194
session,O,194
of,O,194
google,O,194
amazon,O,194
and,O,194
facebook,O,194
.,O,194
working,O,195
on,O,195
poc,O,195
on,O,195
google,O,195
bot,O,195
by,O,195
making,O,195
use,O,195
of,O,195
dialogflow,S-TECH,195
google,B-TECH,195
cloud,I-TECH,195
platform,I-TECH,195
.,O,195
project,O,196
annexure,O,196
.,O,196
company,O,197
name,O,197
:,O,197
tata,B-ORG,197
consultancy,I-ORG,197
services,I-ORG,197
ltd,I-ORG,197
india,O,197
.,O,197
roles&,O,198
responsibilities,O,198
:,O,198
developer,S-ROLE,198
.,O,198
exploring,O,199
conversational,O,199
services,O,199
provided,O,199
by,O,199
various,O,199
technologies,O,199
mainly,O,199
google,O,199
and,O,199
preparing,O,199
documents,O,199
out,O,199
of,O,199
it,O,199
.,O,199
conduct,O,200
knowledge,O,200
sharing,O,200
session,O,200
for,O,200
the,O,200
explored,O,200
technology,O,200
for,O,200
the,O,200
entire,O,200
team,O,200
.,O,200
configured,O,201
bots,O,201
in,O,201
dialog,B-TECH,201
flow,I-TECH,201
(,O,201
using,O,201
node,B-TECH,201
js,I-TECH,201
),O,201
in,O,201
google,O,201
lambda,O,201
(,O,201
using,O,201
node,O,201
js,O,201
),O,201
in,O,201
amazon,O,201
.,O,201
project,O,202
name,O,202
.,O,202
conversational,O,203
experiences,O,203
.,O,203
client,O,204
.,O,204
internal,O,205
.,O,205
role,O,206
.,O,206
developer,S-ROLE,207
.,O,207
summary,O,208
.,O,208
preparing,O,209
chatbots,O,209
in,O,209
different,O,209
technologies,O,209
like,O,209
amazon,O,209
google,O,209
kore,B-TECH,209
al,I-TECH,209
using,O,209
java,S-TECH,209
cript,O,209
html,S-TECH,209
css,S-TECH,209
python,S-TECH,209
node,B-TECH,209
js,I-TECH,209
.,O,209
project,O,210
name,O,210
.,O,210
eli,O,211
lilly,O,211
and,O,211
company,O,211
.,O,211
duration,O,212
.,O,212
2,B-EXP,213
years,I-EXP,213
.,O,213
role,O,214
.,O,214
etl,S-TECH,215
developer,S-ROLE,215
.,O,215
responsibility,O,216
.,O,216
designing,O,217
etl,S-TECH,217
components,O,217
developed,O,217
the,O,217
informatica,O,217
component,O,217
as,O,217
per,O,217
the,O,217
design,O,217
created,O,217
ssrs,O,217
reports,O,217
for,O,217
audit,O,217
access,O,217
extensively,O,217
worked,O,217
with,O,217
informatica,O,217
performance,O,217
tuning,O,217
involving,O,217
source,O,217
level,O,217
target,O,217
level,O,217
and,O,217
map,O,217
level,O,217
bottlenecks,O,217
performed,O,217
unit,O,217
testing,S-TECH,217
at,O,217
various,O,217
levels,O,217
of,O,217
the,O,217
etl,O,217
and,O,217
actively,O,217
involved,O,217
in,O,217
team,O,217
code,O,217
reviews,O,217
.,O,217
project,O,218
name,O,218
.,O,218
ilp,O,219
-,O,219
trivandrum,O,219
participants,O,219
.,O,219
role,O,220
.,O,220
ilp,O,221
trainee,O,221
.,O,221
period,O,222
.,O,222
01-apr-2016,O,223
to,O,223
26-jun-2016,O,223
.,O,223
responsibilities,O,224
.,O,224
to,O,225
be,O,225
an,O,225
effective,O,225
learner,O,225
and,O,225
turn,O,225
out,O,225
to,O,225
be,O,225
a,O,225
good,O,225
resource,O,225
.,O,225
languages,O,226
.,O,226
core,O,227
java,S-TECH,227
java,B-TECH,227
script,I-TECH,227
angular,B-TECH,227
js,I-TECH,227
.,O,227
technical,O,228
skills,O,228
.,O,228
informatica,O,229
powercenter,O,229
9,O,229
6,O,229
.,O,229
1,O,230
mssql,S-TECH,230
oracle,O,230
sap,O,230
bo,O,230
informatica,O,230
powercenter,O,230
9,O,230
.,O,230
6,O,231
1,O,231
mssql,S-TECH,231
oracle,O,231
sap,O,231
bo,O,231
.,O,231
language,O,232
proficiency,O,232
:,O,232
english,O,232
hindi,O,232
and,O,232
gujrati,O,232
.,O,232
.,O,233
mail,O,234
:,O,234
neeraj.shama9@tcs.com,S-EMAIL,234
.,O,234
nithin,O,235
gopinadh's,O,235
profile,O,235
.,O,235
neeraj,B-PER,236
sharma,I-PER,236
(,O,236
1025903,O,236
),O,236
.,O,236
contact,O,237
:,O,237
+91,O,237
(,O,237
9599722480,S-CON,237
7836014622,S-CON,237
),O,237
.,O,237
information,B-DES,238
technology,I-DES,238
analyst,I-DES,238
.,O,238
experience,O,239
summary,O,239
.,O,239
information,B-DES,240
technology,I-DES,240
analyst,I-DES,240
and,O,240
work,O,240
for,O,240
ultimatix,O,240
-,O,240
ievolve,O,240
ilp,O,240
digitization,O,240
portal,O,240
team,O,240
of,O,240
tata,B-ORG,240
consultancy,I-ORG,240
services,I-ORG,240
ltd,I-ORG,240
(,O,240
tcs,S-ORG,240
),O,240
.,O,240
holds,O,241
distinction,O,241
in,O,241
master,O,241
of,O,241
computer,O,241
application,O,241
(,O,241
mca,O,241
),O,241
–,O,241
computer,O,241
science,O,241
(,O,241
rgpv,O,241
bhopal,O,241
university,O,241
),O,241
.,O,241
i,O,242
have,O,242
around,O,242
8,B-EXP,242
years,I-EXP,242
of,O,242
experience,O,242
in,O,242
it,O,242
industry,O,242
in,O,242
software,O,242
analysis,O,242
design,O,242
development,O,242
support,O,242
and,O,242
maintenance,O,242
testing,S-TECH,242
and,O,242
deployment,O,242
of,O,242
n,O,242
-,O,242
tier,O,242
client,O,242
/,O,242
server,O,242
&,O,242
web,O,242
designing,O,242
/,O,242
development,O,242
applications,O,242
.,O,242
worked,O,243
extensively,O,243
in,O,243
development,O,243
support,O,243
and,O,243
maintenance,O,243
project,O,243
of,O,243
java,S-TECH,243
j2ee,S-TECH,243
html,S-TECH,243
xml,S-TECH,243
well,O,243
versed,O,243
with,O,243
rdbms,O,243
like,O,243
oracle,S-TECH,243
i,O,243
have,O,243
knowledge,O,243
of,O,243
js,S-TECH,243
spring,S-TECH,243
frame,O,243
works,O,243
familiar,O,243
with,O,243
the,O,243
development,O,243
tools,O,243
like,O,243
life,O,243
ray,O,243
developer,S-ROLE,243
spring,O,243
source,O,243
tool,O,243
suite,O,243
(,O,243
sts,O,243
),O,243
eclipse,S-TECH,243
net,B-TECH,243
beans,I-TECH,243
and,O,243
servers,O,243
like,O,243
jboss,S-TECH,243
tomcat,S-TECH,243
and,O,243
web,O,243
logic,O,243
i,O,243
have,O,243
good,O,243
knowledge,O,243
of,O,243
spring,O,243
framework,O,243
and,O,243
attend,O,243
training,O,243
on,O,243
solr,S-TECH,243
.,O,243
search,O,244
.,O,244
technical,O,245
skills,O,245
.,O,245
developmentt,O,246
tool,O,246
.,O,246
service,O,247
center,O,247
eclipse,S-TECH,247
svn,S-TECH,247
clear,O,247
case,O,247
edit,O,247
plus,O,247
.,O,247
languages,O,248
.,O,248
core,B-TECH,249
java,I-TECH,249
html,O,249
xml,O,249
javascript,O,249
angular,O,249
js,O,249
nodejs,O,249
.,O,249
web,O,250
technologies,O,250
frame,O,250
.,O,250
servlet,S-TECH,251
jsp,S-TECH,251
jdbc,S-TECH,251
html,S-TECH,251
xml,S-TECH,251
ftl,O,251
.,O,251
frameworks,O,252
.,O,252
struts,S-TECH,253
spring,S-TECH,253
hibernate,S-TECH,253
js,S-TECH,253
.,O,253
database,O,254
.,O,254
sql,S-TECH,255
postgresql,S-TECH,255
oracle,B-TECH,255
10g,I-TECH,255
oracle,O,255
sql,O,255
developer,S-ROLE,255
.,O,255
servers,O,256
/,O,256
portal,O,256
.,O,256
tomcat,S-TECH,257
jboss,S-TECH,257
web,O,257
logic,O,257
.,O,257
operating,O,258
system,O,258
.,O,258
windows,B-TECH,259
xp,I-TECH,259
windows,O,259
7,O,259
mac,O,259
os,O,259
.,O,259
professional,O,260
experience,O,260
.,O,260
tcs,S-ORG,261
.,O,261
information,B-DES,262
technology,I-DES,262
analyst,I-DES,262
.,O,262
04,O,263
/,O,263
2015,O,263
to,O,263
till,O,263
date,O,263
.,O,263
cognizant,O,264
technology,O,264
solution,O,264
.,O,264
associate,O,265
.,O,265
06,O,266
/,O,266
2013,O,266
to,O,266
04,O,266
/,O,266
2015,O,266
.,O,266
xerox,O,267
services,O,267
india,O,267
.,O,267
senior,O,268
software,O,268
engineer,O,268
.,O,268
07,O,269
/,O,269
2012,O,269
to,O,269
06,O,269
/,O,269
2013,O,269
.,O,269
hcl,O,270
technology,O,270
ltd,O,270
.,O,270
software,O,271
engineer,O,271
.,O,271
04,O,272
/,O,272
2010,O,272
to,O,272
06,O,272
/,O,272
2012,O,272
.,O,272
educational,O,273
&,O,273
professional,O,273
credentials,O,273
.,O,273
education,O,274
.,O,274
board,O,275
/,O,275
university,O,275
.,O,275
year,O,276
of,O,276
passing,O,276
.,O,276
%,O,277
of,O,277
marks,O,277
.,O,277
secondary,O,278
.,O,278
state,O,279
board,O,279
.,O,279
2001,O,280
.,O,280
83,O,281
.,O,281
higher,O,282
secondary,O,282
.,O,282
state,O,283
board,O,283
.,O,283
2003,O,284
.,O,284
82,O,285
.,O,285
bachelor,O,286
.,O,286
barkatullah,O,287
university,O,287
.,O,287
2006,O,288
.,O,288
67,O,289
.,O,289
master's,O,290
.,O,290
rgpv,O,291
university,O,291
.,O,291
2009,O,292
.,O,292
78,O,293
.,O,293
training,O,294
.,O,294
attented,O,295
session,O,295
on,O,295
solr,S-TECH,295
search,O,295
spring,S-TECH,295
framework,O,295
hibernate,S-TECH,295
framework,O,295
.,O,295
project,O,296
annexure,O,296
.,O,296
company,O,297
name,O,297
:,O,297
tata,B-ORG,297
consultancy,I-ORG,297
services,I-ORG,297
ltd,I-ORG,297
india,O,297
.,O,297
project,O,298
name,O,298
.,O,298
ilp,O,299
digitization,O,299
portal,O,299
.,O,299
client,O,300
.,O,300
tcs,S-ORG,301
(,O,301
internal,O,301
project,O,301
),O,301
.,O,301
role,O,302
.,O,302
developer,S-ROLE,303
/,O,303
tester,O,303
.,O,303
team,O,304
size,O,304
.,O,304
6,O,305
.,O,305
summary,O,306
.,O,306
ilp,O,307
digitization,O,307
portal,O,307
is,O,307
a,O,307
new,O,307
initiative,O,307
to,O,307
digitize,O,307
the,O,307
current,O,307
manual,O,307
process,O,307
of,O,307
fresher,O,307
training,O,307
management,O,307
it,O,307
is,O,307
an,O,307
end,O,307
-,O,307
to,O,307
-,O,307
end,O,307
solution,O,307
for,O,307
ilp,O,307
planning,O,307
scheduling,O,307
and,O,307
candidate,O,307
management,O,307
during,O,307
ilp,O,307
(,O,307
initial,O,307
learning,O,307
program,O,307
),O,307
it,O,307
handles,O,307
all,O,307
types,O,307
of,O,307
tcs,S-ORG,307
fresher,O,307
recruits,O,307
like,O,307
it,O,307
it,O,307
is,O,307
ca,O,307
cto,O,307
-,O,307
ilp,O,307
cat,O,307
i,O,307
mba,O,307
cat,O,307
ii,O,307
mba,O,307
.,O,307
languages,O,308
.,O,308
core,B-TECH,309
java,I-TECH,309
jsf,O,309
jsp,O,309
javascript,O,309
.,O,309
special,O,310
tools,O,310
.,O,310
pl,B-TECH,311
/,I-TECH,311
sql,I-TECH,311
developer,O,311
jenkins,O,311
sonar,O,311
cube,O,311
svn,O,311
.,O,311
database,O,312
.,O,312
oracle,S-TECH,313
.,O,313
os,O,314
/,O,314
software,O,314
/,O,314
server,O,314
.,O,314
windows,O,315
web,O,315
logic,O,315
server,O,315
.,O,315
project,O,316
name,O,316
.,O,316
ievolve,O,317
-,O,317
ultimatix,O,317
.,O,317
client,O,318
.,O,318
tcs,S-ORG,319
(,O,319
internal,O,319
project,O,319
),O,319
.,O,319
role,O,320
.,O,320
developer,S-ROLE,321
support,O,321
testing,S-TECH,321
and,O,321
maintenance,O,321
.,O,321
